date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:51	9543/9543	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2009:48:52%20GMT	https://vhtear.com/robots.txt		(from )
16:48:52	36010/36010	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2009:48:52%20GMT	https://vhtear.com/	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/index.html	(from )
16:48:53	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/img/brand/favicon.ico	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/img/brand/favicon.ico	(from https://vhtear.com/)
16:48:54	9015/9015	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/nucleo/css/nucleo.css	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/nucleo/css/nucleo.css	(from https://vhtear.com/)
16:48:55	249978/249978	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/icon/vhtear.png	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/icon/vhtear.png	(from https://vhtear.com/)
16:48:56	57180/57180	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	(from https://vhtear.com/)
16:48:57	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2029%20Dec%202022%2009:48:59%20GMT	https://www.googletagmanager.com/gtm.js?id=	/storage/emulated/0/HTTrack/Websites/Restapi/www.googletagmanager.com/gtm.55445.delayed	(from https://vhtear.com/)
16:48:58	837/837	---M--	302	error ('Found')	text/html	date:Thu,%2029%20Dec%202022%2009:48:59%20GMT	https://vhtear.com/login-google-account	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/login-google-account	(from https://vhtear.com/)
16:48:59	491509/491509	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/css/argon.css?v=1.2.0	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/css/argon5438.css	(from https://vhtear.com/)
16:48:59	2216/2216	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/img/icons/common/google.svg	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/img/icons/common/google.svg	(from https://vhtear.com/)
16:49:00	359/359	---M--	302	error ('Found')	text/html	date:Thu,%2029%20Dec%202022%2009:49:01%20GMT	https://vhtear.com/login-github	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/login-github	(from https://vhtear.com/)
